title	plot	Action	Adult	Adventure	Animation	Biography	Comedy	Crime	Documentary	Drama	Family	Fantasy	Game-Show	History	Horror	Music	Musical	Mystery	News	Reality-TV	Romance	Sci-Fi	Short	Sport	Talk-Show	Thriller	War	Western
"""#7DaysLater"" (2013)"	 #7dayslater is an interactive comedy series featuring an ensemble cast of YouTube celebrities. Each week the audience writes the brief via social media for an all-new episode featuring a well-known guest-star. Seven days later that week's episode premieres on TV and across multiple platforms.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""#BlackLove"" (2015) {Crash the Party (#1.9)}"	" With just one week left in the workshops, the women consider the idea of ""The One."" The ladies are stunned when Jahmil finally comes to a decision about Bentley and if he's the one for her. Jack challenges Tennesha to express her feelings of love towards Errol, but can she put herself out there and face possible rejection?"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"""#BlackLove"" (2015) {Making Lemonade Out of Lemons (#1.2)}"	 All of the women start making strides towards finding their own version of a happy ending. Tennesha and Errol decide to become exclusive, but Laree just isn't ready to tell Karl she loves him, even though he has expressed that sentiment to her. Cynthia finds it hard to venture out on her own after her tumultuous separation, and Monet finally finds peace in her divorce when she decides to throw a 'freedom' party to celebrate!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"""#BlackLove"" (2015) {Miss Independent (#1.5)}"	 All five of these women are independent and strong willed, and because of this, they've faced strife in their relationships, past and present. On Jamil's second date with Nneka, Nneka shares that she wants a committed relationship, leaving Jahmil in a difficult position. Jack drops a bomb on Monet in their one on one, which makes her realize that she has been looking at her dating life all wrong. Tennesha is ready to introduce the ladies to Errol at her housewarming party, but her nervousness leads to her controlling nature coming out again. Can she reign it in before she drives Errol away?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"""#BlackLove"" (2015) {Sealing the Deal (#1.10)}"	 Despite having gone through a life changing process in the past ten weeks, the women still have issues to resolve before the week is up in order for them to get their love lives in check. Monet realizes she has one final piece to let go of.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"""#Cake"" (2015)"	 #CAKE is a hour-long serial narrative comedy about a manhunt for a high priced assassin who murders for digital currency (Bitcoin) , the detectives who track him, and a enthused entrepreneur who runs a bitcoin mining operation. In a perfect world do you want money or power? You want the power to create your own money.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""#CandidlyNicole"" (2013) {What's My Sports Vibe (#2.19)}"	 When you're married to a sports nut, sometimes it helps to know a little about their favorite teams. Like, for instance, what sport the team plays. So Nicole sets out to learn everything there is to know about every single sport...in one sitting.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"""#Elmira"" (2014)"	" #Elmira follows the story of a bunch of strangers who all respond to the same CraigsList ad ""Looking for roommates to share rent."" Upon their arrival, the apartment is a lot smaller than anticipated, and so the flat is overpopulated. The fictional apartment building, ""The Elmira,"" located on the fictional street, ""Elmira,"" resides in the City of Elmira. The apartment is rented to the gang by a campy, gay, married couple, who always seem to show up unannounced at the most inopportune times. To make matters worse the apartment sits above a noisy bar. A drag bar called ""Drag-Hag,"" which is the center of confusion to some of the characters."	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""#Hashtag: The Series"" (2013)"	 Friend Me. Follow Me. Like Me. Fall for Me. #Hashtag follows the love lives of two technology-obsessed best friends in Chicago. From Instagram seduction to inappropriate selfies, Twitter over sharing to OKCupid dating, Liv and Skylar are about to learn the real-life consequences of over-indulgence in the virtual world.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""#LawstinWoods"" (2013)"	" #LawstinWoods follows the story of 6 strangers who were taken from their lives and placed in woods called the ""Lawstin Woods."" The mysterious name of the woods happens to parallel their own misfortune, which is that they are all lost in woods. While trapped in the mystical forest they struggle to get answers, while they fight to stay alive. All the while a small group of people who claim to be residents of the Lawstin Woods taunt those who're lost, but never give the gang answers. Instead they appear to simply toy with them."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"""#LawstinWoods"" (2013) {The Case of the Twins (#1.2)}"	" 3 guys who woke up in unfamiliar woods come across a girl who claims that she too woke up in the woods, and that a ""zombie-type-thing"" wearing a wedding dress chased her. Unknown to the captives 2 people who appear to know what's going on, discuss whether or not to tell the captives something."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"""#LawstinWoods"" (2013) {The Happening (#1.3)}"	 The gang discuss their shock over realizing they have identical twins they didn't know about prior to waking up in the woods. The gang find guns buried in the ground and discuss what to do with them. Meanwhile Kenny Rogers talks to someone over the phone about wanting to be extracted.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"""#MonologueWars"" (2014)"	 Monologue Wars pits the 8 Sided Ensemble against each other in a friendly [mostly] contest. With the help of our audience, the first monologue was chosen. Each competitor was then given one week to learn it, rehearse it, and film it. And that was where the fun began: until October 18th 2014 our competitors will be vying for the highest number of Likes on their video.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""#NotMadMonday"" (2015)"	 #NotMadMonday is a new, fast-paced talk show starring unlikely #BFFS, Brian Patacca + Chelsea London Lloyd. (He's from the 70s and she's a 90s bitch.) #TheyLoveIt. Drawing on their close friendship and disparity in age, this show takes irreverence to a whole new level as these co-hosts confront online dating (#serioustalk), technological dis-advancements and maddening etiquette (#wedont).	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""#SmurTv"" (2016)"	" Sketch comedy from the creators of the online series ""Swaggapuss Gets a Job."" The show is hosted by the character Swaggapuss as hits the streets to ask people what ""Smur"" means to them. Ramon ""R.L."" Terry, Malik Sims and a growing cast of others team up for pure randomness of sketch comedy."	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""#SpongeyLeaks"" (2016)"	 Trevor's aunt, Barbara Eyster, has been living with Multiple Sclerosis. She had been provided a live-in caregiver who was paid to help care for her in her day-to-day life. On November 16, 2016, Trevor received an email from Barbara stating she was being evicted and had 3 days to remove her property from her house. When Trevor arrived to help, he was shocked by the condition of both Barbara and her house. He immediately moved in to help with her care. The day after Thanksgiving, Trevor returned to his aunt's home during an argument between the caregiver and his aunt. Multiple 911 calls were made when the caregiver refused to leave. During one of the 911 calls, the caregiver falsely claimed he was being threatened with a loaded gun. When the police arrived Trevor was arrested. Trevor posted bail, and the charges were later dropped. Trevor realized he needed to get the truth out to raise awareness for not only his aunt's situation but elder and dependent abuse as a whole. On December 19, 2016, the first #SpongeyLeaks video was released to show the public what had been going on behind closed doors in his aunt's house. The releases following look more into the details of the leading events, as well as what has happened in the days since the events of November 26.	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"""#TanCosmo"" (2014)"	 Mónica Fonseca, Colombian hostess, will help you create your own style and make yours the most edgy and newest trends before they become popular. Fashion, health, beauty, eco, tech, design and travel trends will get to you first, and you'll be able to know who are the creative people and forces behind them. Thus, you will stand out in the crowd!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"""#VanLifeAttila"" (2016) {An Ideal Life (#3.5)}"	 Attila talks about his emotions about the future and how his depression and media have affected his reactions to situations. Giving advice to people to just try different things in life, in order to find out what fits. Because you might have everything you want, until you try something new and realize that what you had was not as good as what you must tried. 'Cause what you had may not be what you want, but didn't know it until you tried something else.	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""#mykpop"" (2013)"	 The global phenomenon that is the K-pop wave through the lives of eight fanatics across the world. Through social media and their individual stories, each fan will show how K-pop impacts their daily lives, culminating in their journey to North America's biggest K-pop convention and concert, KCON 2013.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"""#mykpop"" (2013) {(#1.2)}"	 K-pop is growing! Check out Mnet America's newest docu/reality show following 8 K-pop fans from all across the United States. They shared their love for K-pop and got together at KCON to share a behind the scenes look into the world of K-pop! Share their experiences as we show how the love of K-pop brings people together!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"""#mykpop"" (2013) {(#1.4)}"	 K-pop is growing! Check out Mnet America's newest docu/reality show following 8 K-pop fans from all across the United States. They shared their love for K-pop and got together at KCON to share a behind the scenes look into the world of K-pop! Share their experiences as we show how the love of K-pop brings people together!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"""$#*! My Dad Says"" (2010) {Code Ed (#1.4)}"	 Henry asks a girl out on a date. She says yes on the condition that he bring his father along so that she could fix him up with her aunt. Ed and the aunt hit it off, they even make plans for another date. When Henry leaves the table, his date tells her aunt that she's not feeling it from him but her aunt tells to suck it up cause she wants to go out with Ed again. Ed upon learning this wants to tell Henry but Vince convinces him not to. Because he might not be able to handle the rejection. So when they go their next date, Henry tries to impress her but Ed tries to keep him from making a fool of himself without telling him how she feels.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
